time,benzene
17.67658333,0.12
17.69341666,0.052
17.71022222,0.054
17.72705555,0.102
17.74386111,0.048
17.76066666,0.066
17.7775,0.072
17.79430555,0.064
17.81113889,0.045
17.82797222,0.053
17.84477777,0.059
17.86158333,0.043
17.87841666,0.043
17.89522222,0.03
17.91205555,0.049
17.92886111,0.128
17.94569444,0.043
17.9625,0.042
17.97930555,0.035
17.99613889,0.038
18.01297222,0.044
18.02972222,0.04
18.04655555,0.192
18.06336111,0.042
18.08019444,0.054
18.097,0.101
18.11380555,0.076
18.13063889,0.052
18.14744444,0.082
18.16427777,0.073
18.18108333,0.065
18.19791666,0.056
18.21472222,0.084
18.23152777,0.07
18.24836111,0.075
18.26516666,0.062
18.28197222,0.062
18.29880555,0.066
18.31561111,0.069
18.33244444,0.097
18.34925,0.068
18.36608333,0.085
18.38288889,0.069
18.39969444,0.124
18.41652777,0.072
18.43333333,0.073
18.45016666,0.065
18.46697222,0.063
18.48380555,0.074
18.50061111,0.062
18.51741666,0.071
18.53425,0.06
18.55105555,0.065
18.56786111,0.122
18.58469444,0.054
18.6015,0.089
18.61830555,0.065
18.63513889,0.054
18.65194444,0.052
18.66877777,0.094
18.68558333,0.043
18.70241666,0.053
18.71922222,0.106
18.73605555,0.102
18.75286111,0.088
18.76969444,0.048
18.7865,0.087
18.80333333,0.038
18.82013889,0.066
18.83697222,0.059
18.85377777,0.047
18.87058333,0.037
18.88741666,0.052
18.90422222,0.042
18.92102777,0.085
18.93786111,0.084
18.95466666,0.059
18.9715,0.071
18.98830555,0.046
19.00513889,0.042
19.02194444,0.089
19.03877777,0.067
19.05558333,0.055
19.07241666,0.053
19.08922222,0.061
19.10605555,0.059
19.12286111,0.095
19.13966666,0.094
19.1565,0.102
19.17330555,0.068
19.19013889,0.047
19.20694444,0.043
19.22375,0.145
19.24058333,0.077
19.25738889,0.042
19.27422222,0.053
19.29102777,0.083
19.30786111,0.059
19.32469444,0.068
19.3415,0.066
19.35830555,0.082
19.37513889,0.042
19.39194444,0.047
19.40877777,0.21
20.61961111,0.402
20.63644444,0.468
20.65325,0.475
20.67005555,0.539
20.68688889,1.797
20.70372222,1.64
20.72052777,1.921
20.73733333,2.187
20.75416666,1.653
20.77097222,1.455
20.78777777,1.548
20.80461111,1.327
20.82141666,0.962
20.83825,0.932
20.85505555,0.963
20.87188889,1.17
20.88869444,0.999
20.90552777,1.213
20.92233333,0.957
20.93916666,0.607
20.95597222,0.397
20.97280555,0.302
20.98961111,0.525
21.00644444,0.505
21.02325,0.296
21.04008333,0.679
21.05688889,0.61
21.07372222,0.722
21.09052777,0.808
21.10736111,0.709
21.12416666,0.681
21.141,0.628
21.15780555,0.608
21.17463889,0.598
21.19144444,0.679
21.20827777,0.625
21.22508333,0.644
21.24191666,0.594
21.25872222,0.582
21.27552777,0.575
21.29236111,0.6
21.30919444,0.632
21.326,0.7
21.34283333,0.681
21.35963889,0.712
21.37644444,1.164
21.39327777,0.593
21.41011111,0.444
21.42691666,0.355
21.44372222,0.254
21.46055555,0.234
21.47736111,0.289
21.49419444,0.309
21.511,0.249
21.52780555,0.224
21.54463889,0.327
21.56144444,0.245
21.57827777,0.235
21.59508333,0.222
21.61191666,0.234
21.62872222,0.191
21.64552777,0.221
21.66236111,0.208
21.67919444,0.2
21.696,0.288
21.71283333,0.235
21.72963889,0.266
21.74644444,0.235
21.76327777,0.24
21.78008333,0.306
21.79691666,0.257
21.81372222,0.315
21.83055555,0.229
21.84736111,0.28
21.86416666,0.256
21.881,0.271
21.89780555,0.265
21.91463889,0.264
21.93144444,0.249
21.94825,0.305
21.96508333,0.388
21.98191666,0.452
21.99872222,0.543
22.01555555,0.486
22.03236111,0.462
22.04916666,0.493
22.066,0.642
22.08280555,0.499
22.09963889,0.628
22.11644444,0.97
22.13325,1.026
22.15008333,0.923
22.16691666,0.815
22.18372222,1.01
22.20055555,0.845
22.21736111,0.77
22.23419444,0.863
22.251,0.86
22.26783333,0.789
22.28463889,0.745
22.30144444,0.765
22.31827777,0.73
22.33508333,1.154
22.35191666,1.005
22.36872222,0.821
22.38552777,0.92
22.40236111,0.895
22.41916666,0.997
22.43597222,1.119
22.45280555,0.842
22.46961111,0.737
22.48644444,0.722
22.50325,0.685
22.52008333,0.693
22.53688889,0.736
22.55372222,0.805
22.57052777,0.739
22.58733333,0.817
22.60416666,0.738
22.62097222,0.798
22.63780555,0.746
22.65461111,0.709
22.67144444,1.214
22.68825,1.31
22.70508333,1.06
22.72188889,0.824
22.73872222,0.712
22.75552777,0.697
22.77236111,0.634
22.78916666,0.903
22.80597222,0.749
22.82280555,0.539
22.83963889,0.598
22.85644444,0.753
22.87325,0.882
22.89008333,0.808
22.90688889,0.779
22.92372222,0.771
22.94052777,0.639
22.95733333,0.615
22.97416666,0.529
22.99097222,0.489
23.00780555,0.52
23.02461111,0.488
23.04141666,0.46
23.05825,0.41
23.07505555,0.447
23.09188889,0.369
23.10869444,0.383
23.12552777,0.385
23.14233333,0.416
23.15916666,0.408
23.17597222,0.424
23.19277777,0.406
23.20961111,0.388
23.22641666,0.344
23.24325,0.387
23.26005555,0.344
23.27688889,0.333
23.29369444,0.32
23.31052777,0.325
23.32733333,0.363
23.34413889,0.337
23.36097222,0.391
23.37780555,0.333
23.39461111,0.348
23.41144444,0.334
23.42825,0.359
23.44505555,0.328
23.46188889,0.344
23.47872222,0.364
23.49552777,0.328
23.51236111,0.358
23.52916666,0.341
23.54597222,0.489
23.56280555,0.458
23.57961111,0.304
23.59644444,0.306
23.61325,0.291
23.63008333,0.29
23.64688889,0.303
23.66372222,0.299
23.68052777,0.288
23.69733333,0.27
23.71416666,0.314
23.73097222,0.274
23.74780555,0.271
23.76461111,0.349
23.78144444,0.393
23.79825,0.42
23.81508333,0.537
23.83188889,0.756
23.84872222,0.496
23.86552777,0.386
23.88236111,0.375
23.89916666,0.355
23.916,0.308
23.93280555,0.328
23.94961111,0.304
23.96644444,0.343
23.98325,0.317
8.33E-05,0.298
0.016916666,0.312
0.033722222,0.265
0.050527777,0.249
0.067361111,0.28
0.084166666,0.258
0.101,0.229
0.117805555,0.229
0.134611111,0.19
0.151444444,0.162
0.16825,0.16
0.185083333,0.164
0.201916666,0.134
0.218722222,0.154
0.235527777,0.152
0.252361111,0.144
0.269166666,0.143
0.285972222,0.14
0.302805555,0.099
0.319611111,0.139
0.336444444,0.146
0.35325,0.172
0.370055555,0.177
0.386888889,0.165
0.403694444,0.214
0.420527777,0.273
0.437333333,0.278
0.454138889,0.312
0.470972222,0.3
0.487777777,0.312
0.504611111,0.266
0.521416666,0.345
0.53825,0.321
0.555055555,0.311
0.571888889,0.347
0.588694444,0.325
0.605527777,0.314
0.622333333,0.329
0.639166666,0.313
0.655972222,0.355
0.672805555,0.335
0.689611111,0.275
0.706444444,0.33
0.72325,0.373
0.740055555,0.352
0.756888889,0.347
0.773722222,0.304
0.790527777,0.312
0.807361111,0.364
0.824166666,0.402
0.841,0.545
0.857805555,0.491
0.874638889,0.452
0.891444444,0.398
0.90825,0.418
0.925083333,0.402
0.941916666,0.383
0.958722222,0.47
0.975527777,0.482
0.992361111,0.461
1.009166666,0.585
1.026,0.551
1.042805555,0.547
1.059638889,0.675
1.076444444,0.702
1.09325,0.718
1.110083333,0.865
1.126888889,1.402
1.143722222,1.898
1.160527777,2.387
1.177333333,2.267
1.194166666,1.714
1.210972222,1.561
1.227805555,0.886
1.244611111,0.744
1.261444444,0.507
1.27825,0.447
1.295083333,0.429
1.311888889,0.477
1.328722222,0.394
1.345527777,0.423
1.362361111,0.448
1.379166666,0.593
1.395972222,0.504
1.412805555,0.461
1.429611111,0.437
1.446444444,0.477
1.46325,0.443
1.480083333,0.759
1.496888889,0.706
1.513722222,0.439
1.530527777,0.362
1.547333333,0.379
1.564166666,0.344
1.580972222,0.412
1.597805555,0.358
1.614611111,0.315
1.631444444,0.343
1.64825,0.298
1.665055555,0.318
1.681888889,0.349
1.698694444,0.357
1.715527777,0.33
1.732333333,0.287
1.749138889,0.292
1.765972222,0.305
1.782777777,0.295
1.799611111,0.302
1.816416666,0.327
1.83325,0.348
1.850055555,0.377
1.866888889,0.417
1.883694444,0.502
1.900527777,0.607
1.917333333,0.545
1.934138889,0.65
1.950972222,0.636
1.967777777,0.71
1.984611111,0.826
2.001416666,0.788
2.01825,0.671
2.035055555,0.74
2.051888889,0.804
2.068694444,0.716
2.0855,0.693
2.102333333,0.787
2.119138889,0.762
2.135972222,0.7
2.152777777,0.631
2.169611111,0.615
2.186416666,0.513
2.20325,0.582
2.220055555,0.681
2.236861111,0.781
2.253694444,1.21
2.2705,1.588
2.287305555,1.293
2.304138889,0.752
2.320944444,0.719
2.337777777,0.687
2.354583333,0.559
2.371416666,0.719
2.38825,1.25
2.405055555,1.034
2.421861111,0.82
2.438694444,0.655
2.455527777,0.623
2.472333333,0.615
2.489138889,0.751
2.505972222,0.646
2.522777777,0.836
2.539583333,0.811
2.556416666,0.744
2.573222222,0.843
2.590055555,0.714
2.606861111,1.021
2.623666666,1.039
2.6405,0.919
2.657305555,0.898
2.674138889,0.901
2.690944444,0.957
2.70775,0.894
2.724583333,0.909
2.741388889,0.98
2.758222222,1.01
2.775027777,1.001
2.791861111,0.985
2.808666666,0.951
2.825472222,0.871
2.842305555,0.934
2.859111111,0.997
2.875944444,0.835
2.89275,0.881
2.909583333,0.889
2.926388889,0.842
2.943222222,0.846
2.960027777,0.861
2.976861111,0.865
2.993666666,0.866
3.0105,0.91
3.027305555,1.02
3.044138889,0.955
3.060944444,0.961
3.07775,0.983
3.094583333,0.997
3.111388889,0.928
3.128222222,0.872
3.145027777,0.887
3.161861111,0.922
3.178666666,0.876
3.195472222,0.716
3.212305555,0.723
3.229111111,0.536
3.245944444,0.604
3.26275,0.543
3.279583333,0.506
3.296388889,0.613
3.313194444,0.789
3.330027777,0.598
3.346833333,0.668
3.363666666,0.723
3.380472222,0.831
3.397277777,0.774
3.414111111,0.758
3.430916666,0.678
3.44775,0.718
3.464555555,0.706
3.481361111,0.727
3.498194444,0.658
3.515,0.683
3.531805555,0.57
3.548638889,0.51
3.565472222,0.587
3.582277777,0.665
3.599111111,0.664
3.615916666,0.724
3.63275,0.78
3.649555555,0.934
3.666388889,0.934
3.683194444,0.868
3.7,0.93
3.716833333,0.881
3.733638889,0.962
3.750472222,1.018
3.767277777,0.839
3.784111111,0.886
3.800916666,0.901
3.81775,0.843
3.834555555,0.825
3.851388889,0.874
3.868194444,0.774
3.885027777,0.828
3.901833333,0.76
3.918666666,0.685
3.935472222,0.728
3.952305555,0.771
3.969111111,0.77
3.985944444,0.708
4.00275,0.623
4.019583333,0.656
4.036388889,0.717
4.053222222,0.63
4.070027777,0.623
4.086861111,0.525
4.103666666,0.474
4.1205,0.465
4.137305555,0.447
4.154138889,0.486
4.170944444,0.509
4.187777777,0.547
4.204583333,0.53
4.221388889,0.626
4.238222222,0.617
4.255027777,0.584
4.271861111,0.551
4.288666666,0.577
4.3055,0.525
4.322305555,0.504
4.339138889,0.553
4.355944444,0.484
4.372777777,0.523
4.389583333,0.512
4.406416666,0.517
4.423222222,0.522
4.440055555,0.511
4.456861111,0.477
4.473666666,0.544
4.4905,0.712
4.507305555,0.532
4.524138889,0.53
4.540944444,0.726
4.557777777,0.657
4.574583333,0.603
4.591416666,0.596
4.608222222,0.693
4.625055555,0.572
4.641861111,0.547
4.658694444,0.565
4.675527777,0.632
4.692333333,0.508
4.709138889,0.646
4.725972222,0.665
4.742777777,0.628
4.759611111,0.687
4.776416666,0.78
4.79325,0.516
4.810055555,0.606
4.826888889,0.687
4.843694444,0.618
4.860527777,0.565
4.877333333,0.631
4.894166666,1.115
4.910972222,1.319
4.927805555,0.922
4.944638889,1.084
4.961444444,1.021
4.97825,1.105
4.995083333,0.929
5.011888889,1.907
5.028722222,1.164
5.045527777,0.604
5.062361111,0.782
5.079166666,0.704
5.096,0.773
5.112833333,0.497
5.129638889,0.646
5.146444444,0.726
5.163277777,0.692
5.180111111,0.787
5.196916666,0.742
5.21375,0.662
5.230555555,1.15
5.247361111,0.891
5.264194444,0.754
5.281027777,0.97
5.297833333,0.935
5.314638889,1.043
5.331472222,0.779
5.348305555,0.965
5.365111111,0.921
5.381944444,0.914
5.39875,1.051
5.415583333,1.159
5.432388889,1.063
5.449222222,1.129
5.466027777,1.13
5.482861111,1.061
5.499666666,1.1
5.5165,1.184
5.533305555,1.486
5.550111111,2.08
5.566944444,1.787
5.58375,1.047
5.600583333,0.947
5.617388889,0.873
5.634222222,0.827
5.651027777,0.782
5.667861111,0.776
5.684666666,0.803
5.7015,0.878
5.718305555,0.837
5.735138889,0.999
5.751944444,1.112
5.76875,1.296
5.785583333,1.333
5.802388889,1.289
5.819222222,1.124
5.836027777,1.095
5.852861111,1.183
5.869666666,1.19
5.8865,1.243
5.903305555,1.131
5.920138889,1.284
5.936944444,1.16
5.953777777,1.385
5.970583333,1.077
5.987416666,1.395
6.004222222,1.363
6.021055555,1.344
6.037861111,1.142
6.054694444,1.059
6.0715,1.034
6.088333333,1.05
6.105138889,1.004
6.121972222,1.085
6.138777777,1.024
6.155611111,1.09
6.172416666,1.027
6.18925,1.006
6.206055555,1.046
6.222888889,1.088
6.239694444,0.895
6.256527777,0.918
6.273333333,0.872
6.290138889,0.888
6.306972222,0.901
6.323777777,0.74
6.340611111,0.73
6.357416666,0.696
6.37425,0.703
6.391055555,0.619
6.407888889,0.669
6.424694444,0.685
6.441527777,0.741
6.458333333,0.746
6.475138889,0.669
6.491972222,0.828
6.508805555,0.704
6.525611111,0.719
6.542444444,0.851
6.55925,0.732
6.576083333,0.729
6.592888889,0.81
6.609694444,0.677
6.626527777,0.763
6.643333333,0.717
6.660166666,0.722
6.676972222,1.035
6.693805555,1.492
6.710611111,1.301
6.727444444,1.07
6.74425,0.796
6.761083333,0.622
6.777888889,0.72
6.794694444,0.775
6.811527777,0.841
6.828333333,0.781
6.845166666,0.802
6.861972222,0.681
6.878805555,0.786
6.895611111,0.738
6.912416666,0.766
6.92925,0.614
6.946055555,0.552
6.962888889,0.484
6.979694444,0.479
6.996527777,0.503
7.013333333,0.473
7.030166666,0.488
7.046972222,0.702
7.063805555,0.714
7.080611111,0.802
7.097444444,0.961
7.11425,0.957
7.131083333,1.017
7.147888889,0.999
7.164694444,1.013
7.181527777,0.868
7.198333333,0.769
7.215138889,0.798
7.231972222,0.757
7.248777777,0.638
7.265611111,0.618
7.282416666,0.606
7.29925,0.636
7.316055555,0.601
7.332888889,0.537
7.349694444,0.469
7.366527777,0.529
7.383333333,0.466
7.400166666,0.496
7.416972222,0.488
7.433805555,0.488
7.450611111,0.54
7.467444444,0.482
7.48425,0.505
7.501055555,0.478
7.517888889,0.585
7.534694444,0.488
7.551527777,0.585
7.568333333,0.487
7.585166666,0.525
7.601972222,0.478
7.618805555,0.496
7.635611111,0.491
7.652444444,0.494
7.66925,0.47
7.686083333,0.461
7.702888889,0.414
7.719694444,0.432
7.736527777,0.376
7.753361111,0.399
7.770166666,0.378
7.786972222,0.379
7.803805555,0.409
7.820611111,0.408
7.837416666,0.396
7.85425,0.457
7.871055555,0.43
7.887888889,0.441
7.904694444,0.449
7.921527777,0.423
7.938333333,0.351
7.955138889,0.419
7.971972222,0.328
7.988777777,0.352
8.005611111,0.324
8.022416666,0.307
8.03925,0.273
8.056055555,0.29
8.072888889,0.4
8.089694444,0.451
8.106527777,0.472
8.123333333,0.481
8.140166666,0.531
8.156972222,0.467
8.173805555,0.516
8.190611111,0.468
8.207416666,0.491
8.22425,0.477
8.241055555,0.48
8.257888889,0.456
8.274694444,0.475
8.291527777,0.396
8.308333333,0.417
8.325138889,0.434
8.341972222,0.378
8.358805555,0.381
8.375611111,0.424
8.392416666,0.463
8.40925,0.406
8.426055555,0.428
8.442888889,0.492
8.459694444,0.475
8.476527777,0.709
8.493333333,0.411
8.510166666,0.398
8.526972222,1.923
8.543805555,0.623
8.560611111,1.137
8.577444444,0.342
8.59425,0.821
8.611055555,0.877
8.627888889,0.368
8.644694444,0.411
8.661527777,0.547
8.678333333,1.11
8.695166666,1.1
8.711972222,1.937
8.728805555,2.177
8.745611111,1.214
8.762416666,0.522
8.77925,0.494
8.796055555,0.579
8.812888889,0.688
8.829694444,1.014
8.8465,0.641
8.863333333,0.595
8.880138889,0.598
8.896972222,0.619
8.913805555,0.423
8.930611111,0.562
8.947416666,0.64
8.96425,0.416
8.981083333,0.402
8.997888889,0.529
9.014694444,0.482
9.031527777,0.334
9.048333333,0.289
9.065166666,0.35
9.081972222,0.386
9.098805555,0.321
9.115611111,0.331
9.132416666,0.373
9.14925,0.389
9.166055555,0.466
9.182888889,0.452
9.199694444,0.435
9.216527777,0.494
9.233333333,0.478
9.250166666,0.412
9.267,0.351
9.283805555,0.371
9.300611111,0.341
9.317444444,0.387
9.33425,0.342
9.351083333,0.386
9.367888889,0.357
9.384694444,0.386
9.401527777,0.416
9.418333333,0.391
9.435166666,0.45
9.452,0.415
9.468805555,0.486
9.485611111,0.446
9.502444444,0.485
9.51925,0.537
9.536083333,0.519
9.552888889,0.56
9.569694444,0.603
9.586527777,0.479
9.603333333,0.472
9.620166666,0.605
9.636972222,0.66
9.653805555,2.459
9.670611111,2.471
9.687444444,2.307
9.70425,1.991
9.721083333,1.852
9.737888889,1.002
9.754722222,1.565
9.771527777,1.288
9.788361111,0.985
9.805166666,0.662
9.821972222,0.689
9.838805555,0.633
9.855611111,0.628
9.872444444,0.6
9.88925,0.574
9.906083333,0.647
9.922888889,0.539
9.939722222,0.532
9.956527777,0.417
9.973333333,0.388
9.990138889,0.405
10.00697222,0.435
10.02380555,0.415
10.04061111,0.497
10.05744444,0.491
10.07425,0.532
10.09108333,0.542
10.10788889,0.575
10.12469444,0.973
10.14152777,0.96
10.15833333,0.815
10.17513889,0.93
10.19197222,0.952
10.20877777,0.916
10.22561111,0.843
10.24241666,0.946
10.25925,0.996
10.27605555,0.998
10.29288889,0.868
10.30969444,0.895
10.32652777,0.988
10.34333333,0.861
10.36016666,0.945
10.37697222,0.789
10.39380555,0.843
10.41061111,0.645
10.42744444,0.635
10.44425,0.595
10.46108333,0.714
10.47788889,0.641
10.49469444,0.543
10.51152777,0.555
10.52833333,0.526
10.54516666,0.719
10.56197222,0.616
10.57877777,0.642
10.59561111,0.624
10.61241666,0.58
10.62925,0.692
10.64605555,0.682
10.66288889,0.62
10.67969444,0.674
10.69652777,0.665
10.71333333,0.483
10.73016666,0.569
10.74697222,0.524
10.76380555,0.497
10.78061111,0.594
10.79741666,0.474
10.81425,0.496
10.83108333,0.486
10.84788889,0.532
10.86469444,0.454
10.88152777,0.47
10.89833333,0.516
10.91516666,0.531
10.93197222,0.413
10.94880555,0.381
10.96561111,0.498
10.98241666,0.478
10.99925,0.472
11.01605555,0.417
11.03288889,0.439
11.04969444,0.475
11.06652777,0.361
11.08333333,0.348
11.10013889,0.335
11.11697222,0.367
11.13377777,0.399
11.15061111,0.294
11.16741666,0.293
11.18422222,0.364
11.20105555,0.322
11.21788889,0.351
11.23469444,0.33
11.25152777,0.378
11.26833333,0.293
11.28516666,0.301
11.30197222,0.279
11.31877777,0.316
11.33561111,0.298
11.35241666,0.246
11.36925,0.298
11.38605555,0.284
11.40288889,0.301
11.41969444,0.343
11.43652777,0.324
11.45333333,0.229
11.47016666,0.25
11.48697222,0.207
11.50380555,0.199
11.52061111,0.263
11.53744444,0.295
11.55425,0.419
11.57108333,0.362
11.58788889,0.295
11.60469444,0.448
11.62152777,0.467
11.63833333,0.498
11.65516666,0.587
11.67197222,0.628
11.68880555,0.556
11.70561111,0.359
11.72244444,0.388
11.73927777,0.386
11.75608333,0.319
11.77291666,0.357
11.78972222,0.398
11.80652777,0.41
11.82336111,0.455
11.84016666,0.464
11.857,0.427
11.87380555,0.437
11.89063889,0.583
11.90744444,0.49
11.92427777,0.645
11.94108333,0.585
11.95788889,0.555
11.97472222,0.538
11.99155555,0.38
12.00836111,0.313
12.02519444,0.363
12.042,0.364
12.05883333,0.327
12.07563889,0.352
12.09244444,0.365
12.10927777,0.469
12.12608333,0.447
12.14291666,0.366
12.15972222,0.406
12.17652777,0.349
12.19336111,0.236
12.21016666,0.182
12.227,0.2
12.24380555,0.214
12.26061111,0.263
12.27744444,0.151
12.29425,0.185
12.31108333,0.193
12.32788889,0.235
12.34469444,0.23
12.36152777,0.229
12.37833333,0.164
12.39516666,0.171
12.41197222,0.123
12.42880555,0.133
12.44561111,0.116
12.46241666,0.11
12.47925,0.148
12.49605555,0.142
12.51288889,0.129
12.52969444,0.171
12.54652777,0.142
12.56333333,0.175
12.58016666,0.162
12.59697222,0.15
12.61380555,0.2
12.63061111,0.171
12.64741666,0.154
12.66425,0.168
12.68105555,0.161
12.69788889,0.185
12.71469444,0.18
12.7315,0.176
12.74833333,0.189
12.76513889,0.201
12.78197222,0.226
12.79877777,0.17
12.81561111,0.122
12.83241666,0.177
12.84925,0.177
12.86605555,0.179
12.88288889,0.19
12.89969444,0.163
12.91652777,0.169
12.93333333,0.145
12.95013889,0.196
12.96697222,0.165
12.98377777,0.184
13.00061111,0.189
13.01741666,0.18
13.03425,0.148
13.05105555,0.18
13.06788889,0.149
13.08469444,0.166
13.10152777,0.152
13.11833333,0.159
13.13513889,0.146
13.15197222,0.173
13.16880555,0.184
13.18561111,0.149
13.20241666,0.169
13.21925,0.139
13.23605555,0.157
13.25288889,0.139
13.26969444,0.118
13.28652777,0.153
13.30333333,0.126
13.32013889,0.153
13.33697222,0.139
13.35377777,0.144
13.37061111,0.174
13.38741666,0.2
13.40425,0.212
13.42105555,0.232
13.43788889,0.238
13.45469444,0.141
13.47152777,0.138
13.48833333,0.129
13.50513889,0.161
13.52197222,0.137
13.53877777,0.172
13.55561111,0.165
13.57241666,0.136
13.58922222,0.105
13.60605555,0.146
13.62288889,0.115
13.63969444,0.105
13.6565,0.133
13.67333333,0.127
13.69013889,0.131
13.70697222,0.16
13.72380555,0.112
13.74061111,0.096
13.75744444,0.128
13.77425,0.136
13.79108333,0.129
13.80788889,0.132
13.82469444,0.147
13.84152777,0.192
13.85833333,0.161
13.87516666,0.154
13.89197222,0.162
13.90880555,0.168
13.92561111,0.178
13.94244444,0.136
13.95925,0.132
13.97608333,0.152
13.99288889,0.16
14.00969444,0.179
14.02652777,0.2
14.04333333,0.17
14.06016666,0.116
14.07697222,0.12
14.09380555,0.151
14.11061111,0.145
14.12744444,0.132
14.14425,0.115
14.16108333,0.102
14.17788889,0.088
14.19472222,0.117
14.21152777,0.086
14.22833333,0.125
14.24516666,0.113
14.26197222,0.114
14.27880555,0.152
14.29561111,0.1
14.31244444,0.11
14.32925,0.133
14.34608333,0.136
16.29194444,0.109
16.30877777,0.137
16.32558333,0.145
16.34241666,0.161
16.35922222,0.132
16.37605555,0.14
16.39288889,0.129
16.40969444,0.107
16.4265,0.112
16.44333333,0.135
16.46013889,0.139
16.47694444,0.115
16.49377777,0.089
16.51058333,0.13
16.52741666,0.123
16.54422222,0.1
16.56105555,0.143
16.57786111,0.14
16.59469444,0.125
16.6115,0.131
16.62833333,0.098
16.64513889,0.1
16.66194444,0.099
16.67877777,0.116
16.69558333,0.168
16.71241666,0.198
16.72922222,0.136
16.74602777,0.133
16.76286111,0.176
16.77969444,0.113
16.7965,0.135
16.81330555,0.111
16.83013889,0.138
16.84694444,0.116
16.86377777,0.139
16.88058333,0.208
16.89741666,0.179
16.91422222,0.111
16.93102777,0.114
16.94786111,0.085
16.96466666,0.105
16.9815,0.098
16.99830555,0.105
17.01513889,0.116
17.03194444,0.162
17.04875,0.187
17.06558333,0.158
17.08238889,0.126
17.09922222,0.125
17.11602777,0.118
17.13286111,0.136
17.14966666,0.11
17.1665,0.136
17.18330555,0.152
17.20013889,0.12
17.21694444,0.125
17.23375,0.12
17.25058333,0.174
17.26738889,0.133
17.28422222,0.129
17.30102777,0.13
17.31786111,0.111
17.33466666,0.131
17.35147222,0.069
17.36830555,0.09
17.38511111,0.108
17.40194444,0.097
17.41875,0.127
17.43555555,0.111
17.45238889,0.088
17.46919444,0.112
17.48602777,0.103
17.50283333,0.086
17.51966666,0.115
17.53647222,0.085
17.55330555,0.087
17.57011111,0.09
17.58691666,0.089
17.60375,0.102
17.62055555,0.117
17.63738889,0.119
17.65419444,0.114
17.67102777,0.103
17.68786111,0.145
17.70466666,0.15
17.72147222,0.106
17.73830555,0.131
17.75513889,0.127
17.77194444,0.12
17.78875,0.116
17.80558333,0.096
17.82238889,0.111
17.83922222,0.142
17.85602777,0.334
17.87283333,0.299
17.88966666,0.333
17.90647222,0.32
17.92330555,0.303
17.94011111,0.225
17.95691666,0.296
17.97375,0.212
17.99055555,0.196
18.00738889,0.184
18.02416666,0.137
18.041,0.188
18.05780555,0.16
18.07463889,0.179
18.09144444,0.22
18.10827777,0.221
18.12508333,0.275
18.14188889,0.233
18.15872222,0.195
18.17552777,0.14
18.19236111,0.138
18.20916666,0.171
18.226,0.129
18.24280555,0.15
18.25963889,0.172
18.27644444,0.183
18.29327777,0.175
18.31008333,0.172
18.32691666,0.214
18.34372222,0.14
18.36052777,0.146
18.37736111,0.131
18.39416666,0.133
18.411,0.123
18.42780555,0.144
18.44463889,0.14
18.46144444,0.116
18.47825,0.16
18.49508333,0.199
18.51191666,0.068
18.52872222,0.084
18.54552777,0.068
18.56236111,0.068
18.57916666,0.075
18.59597222,0.072
18.61280555,0.066
18.62961111,0.076
18.64644444,0.061
18.66325,0.061
18.68005555,0.051
18.69688889,0.062
18.71369444,0.04
18.73052777,0.392
18.74733333,0.287
18.76416666,0.083
18.78097222,0.122
18.79777777,0.089
18.81461111,0.164
18.83141666,0.103
18.84825,0.14
18.86505555,0.14
18.88188889,0.124
18.89869444,0.302
18.91552777,0.111
18.93233333,0.17
18.94913889,0.221
18.96597222,0.346
18.98277777,0.364
18.99961111,0.324
19.01641666,0.306
19.03325,0.287
19.05005555,0.334
19.06688889,0.374
19.08369444,0.295
19.10052777,0.287
19.11733333,0.204
19.13416666,0.22
19.15097222,0.227
19.16777777,0.234
19.18461111,0.185
19.20144444,0.17
19.21825,0.179
19.23508333,0.147
19.25188889,0.198
19.26872222,0.276
19.28552777,0.272
19.30233333,0.325
19.31916666,0.386
19.336,0.424
19.35280555,0.412
19.36963889,0.359
19.38644444,0.343
19.40327777,0.249
19.42008333,0.288
19.43691666,0.254
19.45372222,0.297
19.47052777,0.31
19.48736111,0.369
19.50416666,0.466
19.521,0.512
19.53780555,0.377
19.55461111,0.4
19.57144444,0.409
19.58825,0.832
19.60508333,0.784
19.62191666,0.729
19.63872222,0.58
19.65555555,0.47
19.67236111,0.316
19.68916666,0.353
19.706,0.411
19.72280555,0.345
19.73963889,0.349
19.75644444,0.332
19.77327777,0.348
19.79011111,0.336
19.80691666,0.365
19.82372222,0.399
19.84052777,0.336
19.85736111,0.387
19.87416666,0.423
19.891,0.614
19.90780555,0.572
19.92463889,0.405
19.94144444,0.335
19.95825,0.355
19.97508333,0.405
19.99188889,0.383
20.00872222,0.505
20.02552777,0.457
20.04236111,0.448
20.05916666,0.839
20.07597222,0.452
20.09280555,0.466
20.10961111,0.537
20.12644444,0.559
20.14325,0.472
20.16005555,0.38
20.17688889,0.337
20.19369444,0.341
20.21052777,0.326
20.22733333,0.348
20.24413889,0.324
20.26097222,0.337
20.27777777,0.349
20.29461111,0.337
20.31141666,0.328
20.32825,0.312
20.34505555,0.339
20.36186111,0.409
20.37869444,0.364
20.3955,0.323
20.41233333,0.336
20.42913889,0.477
20.44594444,0.447
20.46277777,0.319
20.47958333,0.49
20.49641666,0.751
20.51322222,0.542
20.53005555,1.489
20.54686111,0.761
20.56369444,0.436
20.5805,0.394
20.59733333,0.416
20.61413889,0.382
